(Re)Create Webhooks,Webhooks (neu) erstellen,
API URL is not set.,Die API-URL ist nicht festgelegt.,
Apply for Credit,Kredit beantragen,
Apply for TreviPay,%1 beantragen,
Apply Now,Jetzt beantragen,
Approval for a Line of Credit,Genehmigung für eine Kreditlinie,
Approved Limit,Genehmigtes Limit,
Are you sure you want to delete the webhooks?,Möchten Sie die Webhooks wirklich löschen?,
authorization,Berechtigung,
Authorization transaction is required to void.,Die Autorisierungstransaktion muss storniert werden.,
Authorize Only,Nur autorisieren,
Authorized,Autorisiert,
Availability,Verfügbarkeit,
Available,Verfügbar,
Balance,Saldo,
Base URL matching webhooks Base URL,"Basis-URL, die zu den Basis-URLs der Webhooks passt",
Base URL not matching webhooks Base URL,"Basis-URL, die nicht zu den Basis-URLs der Webhooks passt",
Business Name,Geschäftsname,
Buyer ID (first 8 characters),Käufer-ID (erste 8 Zeichen),
Cancel,Abbrechen,
Cannot link account. You are not permitted to purchase.,Das Konto kann nicht verknüpft werden. Sie sind nicht zum Kauf berechtigt.,
Cannot void the authorization transaction because its status is %1.,"Die Autorisierungstransaktion kann nicht storniert werden, da sie den Status %1 hat.",
Cannot void the authorization transaction.,Die Autorisierungstransaktion kann nicht storniert werden.,
charge,Belastung,
Check Created Webhooks,Erstellte Webhooks prüfen,Check Created Webhooks
Client Reference ID,Kundenreferenz-ID,
Close,Schließen,
Company Wide Purchasing,Unternehmensweiter Einkauf,
Connect with Purchase Orders,Verknüpfung mit Bestellungen,
"Continuing to Apply will complete your checkout, placing the order as 'Pending' and will be automatically processed after a successful credit application approval and activation.","Wenn Sie mit der Beantragung fortfahren, wird der Checkout abgeschlossen und die Bestellung als „Ausstehend“ eingestuft. Sie wird automatisch bearbeitet, sobald der Kreditantrag genehmigt und aktiviert wurde.",
Core error occurred during TreviPay payment %1. Please check the exception log for details.,Bei der TreviPay-Zahlung %1 ist ein schwerwiegender Fehler aufgetreten. Bitte lesen Sie das Ausnahmeprotokoll für weitere Details.,
Could not assign an unique client reference id to the customer.,Dem Kunden konnte keine eindeutige Kundenreferenz-ID zugewiesen werden.,
"Could not save an invoice, see error log for details",Rechnung konnte nicht gespeichert werden. Weitere Informationen finden Sie im Fehlerprotokoll,
Created Webhooks,Erstellte Webhooks,
Credit Information,Kreditinformationen,
CreditMemo not found,Gutschrift nicht gefunden,
Currency,Währung,
Customer redirected to the TreviPay credit application form.,Der Kunde wurde zum TreviPay-Kreditantragsformular weitergeleitet.,
Debug,Debuggen,
Delete Webhooks,Webhooks löschen,
Direct Charge,Direkte Abbuchung,
Easy Checkout,Einfaches Auschecken,
Enabled,Aktiviert,
Error occurred during generating uuid,Bei der Generierung der UUID ist ein Fehler aufgetreten.,
Fast Approval,Schnelle Genehmigung,
Features,Funktionen,
Flexible Terms,Flexible Bedingungen,
Forget Me,Vergiss mich,
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.","Einen Moment! Ihr derzeitiger Kredit reicht für diesen Kauf nicht aus. Keine Sorge, besuchen Sie bitte %1, um eine Erhöhung Ihres Kreditrahmens zu beantragen.",
How it works,Funktionsweise,
"If you already have an account with us, please Sign In instead of applying for a new credit application.","Wenn Sie bereits ein Konto bei uns haben, melden Sie sich bitte an, anstatt einen neuen Kreditantrag zu stellen.",
"If you have just applied and haven’t activated the account yet, any pending orders may not be processed correctly.","Wenn Sie sich gerade erst angemeldet und das Konto noch nicht aktiviert haben, werden ausstehende Bestellungen möglicherweise nicht korrekt verarbeitet.",
Invalid amount for a refund.,Ungültiger Betrag für eine Erstattung.,
Invalid amount for a refund. Refund amount can't be higher than the paid amount.,Ungültiger Betrag für eine Erstattung. Der Erstattungsbetrag kann nicht höher sein als der gezahlte Betrag.,
Invoice not found,Rechnung nicht gefunden,
Invoicing Your Way,Abrechnung nach Ihren Wünschen,
Looking to unlink your TreviPay from this account? Please click <a %2><span>Forget Me</span></a>,Möchten Sie die Verknüpfung zwischen Ihrem %1 und diesem Konto aufheben? Bitte klicken Sie auf <a %2><span>Vergiss mich</span></a>,
M2 Customer does not have a TreviPay Buyer ID assigned.,Dem M2-Kunden wurde keine TreviPay-Käufer-ID zugewiesen.,
"Make sure the URL ends with '/' (slash), an example text to be either my_program.b2b.credit/ OR my_program.trevipay.app/","Stellen Sie sicher, dass die URL mit „/“ (Schrägstrich) endet. Ein Beispieltext könnte entweder „my_program.b2b.credit/“ ODER „my_program.trevipay.app/“ lauten.",
"Make sure to ""Save Config"" before using this button","Vergewissern Sie sich, dass Sie „Konfiguration speichern“ auswählen, bevor Sie diese Schaltfläche verwenden.",
Maximum Order Total,Höchstbestellsumme,
Minimum Order Total,Mindestbestellsumme,
New Order Status,Neuer Bestellstatus,
Notes,Anmerkungen,
"Oh no! Your TreviPay account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","Oh nein! Ihr %3-Konto ist inaktiv. Hierfür kann es vielerlei Gründe geben. Bitte besuchen Sie <a href=""%1"">%2</a>, um dieses Problem zu beheben.",
Order has no payment method.,Für die Bestellung wurde keine Zahlungsmethode angegeben.,
Order is not associated with the provided customer.,Die Bestellung ist nicht mit dem angegebenen Kunden verknüpft.,
Order payment method is not TreviPay.,Die Zahlungsmethode der Bestellung ist nicht %1.,
Page not found.,Seite nicht gefunden.,
Partial invoice is not possible because a Gift Card had been used.,"Da eine Geschenkkarte verwendet wurde, ist eine Teilrechnung ausgeschlossen.",
Partial invoice is not possible because Store Credits had been used.,"Da Guthaben verwendet wurde, ist eine Teilrechnung ausgeschlossen.",
Payment Action,Zahlungsaktion,
Payment capturing error.,Fehler bei der Zahlungserfassung.,
Payment from Applicable Countries,Zahlung aus relevanten Ländern,
Payment from Specific Countries,Zahlung aus bestimmten Ländern,
Payment method is not enabled,Die Zahlungsmethode ist nicht aktiviert.,
Payment Method Logo,Logo der Zahlungsmethode,
Payment not found,Zahlung nicht gefunden,
Payment refund error.,Fehler bei der Zahlungserstattung.,
Payment voiding error.,Fehler bei der Zahlungsstornierung.,
Payment voiding error. Received status %1,Fehler bei der Zahlungsstornierung. Empfangener Status %1,
Pending Application Approval,Ausstehende Antragsgenehmigung,
Place Order,Bestellung aufgeben,
Please confirm you want to unlink this account from Trevipay. You will be forced to log in again at next checkout when using this payment type.,"Bitte bestätigen Sie, dass Sie die Verknüpfung dieses Kontos mit %1 aufheben möchten. Sie werden sich beim nächsten Checkout erneut anmelden müssen, wenn Sie diese Zahlungsart verwenden.",
Please log in before using this payment method.,"Bitte melden Sie sich an, bevor Sie diese Zahlungsmethode verwenden.",
Please note the TreviPay payment method was used for the edited order. After editing the order a totally new payment transaction will be created and as a Seller you will be charged with fees as for any payment transaction.,"Bitte beachten Sie, dass für die bearbeitete Bestellung die TreviPay-Zahlungsmethode verwendet wurde. Nach der Bearbeitung der Bestellung wird eine völlig neue Zahlungstransaktion erstellt. Als Verkäufer werden Ihnen die Gebühren für jede Zahlungstransaktion in Rechnung gestellt.",
Please sign in to TreviPay Checkout,Bitte melden Sie sich beim %1-Checkout an.,
Please sign-in in to TreviPay Checkout after modifying the cart.,Bitte melden Sie sich nach der Änderung des Warenkorbs beim %1-Checkout an.,
Program URL,Programm-URL,
Provide Business Info,Bereitstellung von Geschäftsinformationen,
Purchase Order Number,Bestellnummer,
Purchase Order number is invalid or does not match expected format,Die Bestellnummer ist ungültig oder stimmt nicht mit dem erwarteten Format überein.,
Purchase Order number is required,Die Bestellnummer ist erforderlich.,
Re-apply for TreviPay,Erneuter Antrag für „%1“,
Refund Offline,Offline-Rückerstattung,
Refund Offline is not available,Die Offline-Rückerstattung ist nicht verfügbar,
Refunded shipping '%1' is higher than captured shipping '%2',Die erstatteten Versandkosten ‚%1‘ sind höher als die erfassten Versandkosten ‚%2‘.,
Refunded shipping '%1' is higher than invoiced shipping '%2',Die erstatteten Versandkosten ‚%1‘ sind höher als die in Rechnung gestellten Versandkosten ‚%2‘.,
Sandbox API Key,Sandbox-API-Schlüssel,
Sandbox API URL,Sandbox-API-URL,
Sandbox Mode,Sandbox-Modus,
Sandbox Program URL,Sandbox-Programm-URL,
Sandbox Seller ID,Sandbox-Verkäufer-ID,
Seller ID,Verkäufer-ID,
Sign In,Anmelden,
Something went wrong in the payment gateway.,Beim Zahlungs-Gateway ist ein Fehler aufgetreten.,
"Sorry, your application has been cancelled. Please visit <a href=""%1"">%2</a> to resubmit.","Leider wurde Ihr Antrag storniert. Bitte besuchen Sie <a href=""%1"">%2</a>, um ihn erneut einzureichen.",
"Sorry, your application has been declined at this time. You are invited to reapply in 6 months from the initial application date, where we will re-review.",Leider wurde Ihr Antrag vorerst abgelehnt. Sie können sich nach Ablauf von 6 Monaten ab dem Datum des ersten Antrags erneut bewerben. Wir werden Ihren Antrag dann erneut prüfen.,
"Sorry, your credit application has been denied. Please use another payment method for business purchases.",Leider wurde Ihr Kreditantrag abgelehnt. Bitte verwenden Sie für geschäftliche Einkäufe eine andere Zahlungsmethode.,
Sort Order,Bestellung sortieren,
Status,Status,
Status of the transaction not found.,Status der Transaktion nicht gefunden.,
Status of the webhooks,Webhook-Status,
The entity that was requested doesn't exist. Verify the entity and try again.,Die angeforderte Entität existiert nicht. Überprüfen Sie die Entität und versuchen Sie es erneut.,
The invoice can't be created without products. Add products and try again.,Die Rechnung kann nicht ohne Produkte erstellt werden. Fügen Sie Produkte hinzu und versuchen Sie es erneut.,
There was an error forgetting your TreviPay Account. Please try again.,Beim Vergessen Ihres %1-Kontos ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut.,
There was an error processing your request.,Es ist ein Fehler bei der Bearbeitung Ihrer Anfrage aufgetreten.,
There was an error trying to apply for TreviPay.,"Beim Versuch, %1 zu beantragen, ist ein Fehler aufgetreten.",
There was an error trying to sign in. Please contact support',Bei der Anmeldung ist ein Fehler aufgetreten. Bitte wenden Sie sich an den Support.,
Title,Titel,
TreviPay authorized amount of %1.,TreviPay hat den Betrag von %1 autorisiert.,
TreviPay captured amount of %1.,TreviPay hat den Betrag von %1 erfasst.,
TreviPay does not support multishipping,TreviPay unterstützt keinen Multiversand,
TreviPay payment %1 error: %2,TreviPay-Zahlung %1 Fehler: %2,
TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.,"Die TreviPay-Zahlungsmethode ist für diesen Kunden derzeit nicht verfügbar, da der Kunde noch nicht bei TreviPay registriert ist.",
"TreviPay payment method is currently not available to this customer as their TreviPay buyer status is ""%1"".","Die TreviPay-Zahlungsmethode ist für diesen Kunden derzeit nicht verfügbar, da sein TreviPay-Käuferstatus „%1“ lautet.",
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".","Die TreviPay-Zahlungsmethode ist für diesen Kunden derzeit nicht verfügbar, da sein TreviPay-Kundenstatus „%1“ lautet.",
TreviPay payment method is currently not available to you. Please visit the TreviPay section to find more details.,Die „%1“-Zahlungsmethode steht Ihnen derzeit nicht zur Verfügung. Weitere Informationen finden Sie im Abschnitt „%1“.,
TreviPay Portal,Portal „%1“,
TreviPay Support Number,TreviPay-Supportnummer,
TreviPay TreviPayMagento,TreviPay TreviPayMagento,
trevipay-adjustment-fee,%1-Ausgleichsgebühr,
trevipay-adjustment-refund,%1-Ausgleichserstattung,
Unsupported payment action '%1' detected.,Nicht unterstützte Zahlungsaktion „%1“ erkannt.,
Up to 45 Days to Pay,Zahlungsziel von bis zu 45 Tagen,
View TreviPay Invoice,TreviPay-Rechnung anzeigen,
"Visit the '%1' Portal to view your invoices, increase your credit line, or make a payment.","Besuchen Sie das Portal „%1“, um Ihre Rechnungen einzusehen, Ihr Kreditlimit zu erhöhen oder eine Zahlung zu leisten.",
"Visit the <a href=""%1"">TreviPay Portal</a> to view your invoices, increase your credit line, or make a payment.","Besuchen Sie das Portal <a href=""%1"">TreviPay</a>, um Ihre Rechnungen einzusehen, Ihr Kreditlimit zu erhöhen oder eine Zahlung zu leisten.",
"Visit the TreviPay Portal to view your invoices, increase your credit line, or make a payment.","Besuchen Sie das TreviPay-Portal, um Ihre Rechnungen einzusehen, Ihren Kreditrahmen zu erhöhen oder eine Zahlung zu leisten.",
"We are currently reviewing your enrollment application for TreviPay. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","Wir prüfen derzeit Ihren Registrierungsantrag für %1. Dieser Vorgang dauert in der Regel etwa 4 Geschäftsstunden. Sollten wir Fragen haben oder eine Genehmigung erteilen, werden wir uns per E-Mail an Sie wenden.",
We are not able to create a Credit Memo without an Invoice.,Ohne Rechnung können wir keine Gutschrift erstellen.,
We are sorry! An error has occurred and we want to fix it. Please contact %1 at %2 or %3,"Wir bitten um Entschuldigung! Es ist ein Fehler aufgetreten, den wir gerne beheben möchten. Bitte kontaktieren Sie %1 unter %2 oder %3",
We are sorry! An error has occurred and we want to fix it. Please contact %1.,"Wir bitten um Entschuldigung! Es ist ein Fehler aufgetreten, den wir gerne beheben möchten. Bitte kontaktieren Sie %1.",
We are sorry! An error has occurred and we want to fix it. Please contact us at %1 or %2,"Wir bitten um Entschuldigung! Es ist ein Fehler aufgetreten, den wir gerne beheben möchten. Bitte kontaktieren Sie uns unter %1 oder %2",
We are sorry! An error has occurred and we want to fix it. Please contact us.,"Wir bitten um Entschuldigung! Es ist ein Fehler aufgetreten, den wir gerne beheben möchten. Bitte kontaktieren Sie uns.",
Webhooks created,Erstellte Webhooks,
Webhooks created but the module is disabled!,"Webhooks erstellt, aber das Modul ist deaktiviert!",
Webhooks not created!,Webhooks nicht erstellt!,
You are not yet a registered TreviPay user. You will be redirected to the TreviPay credit application form after placing this order. Your order will be processed after approval of your TreviPay credit application and TreviPay user account is created.,"Sie sind noch kein registrierter „%1“-Benutzer. Nach der Bestellung werden Sie zum „%1“-Kreditantragsformular weitergeleitet. Ihre Bestellung wird bearbeitet, nachdem Ihr „%1“-Kreditantrag genehmigt und das „%1“-Benutzerkonto erstellt wurde.",
"You chose to withdraw your application. Change of mind? Visit <a href=""%1"">%2</a> to re-apply at any time.","Sie haben sich entschieden, Ihren Antrag zurückzuziehen. Haben Sie Ihre Meinung geändert? Unter <a href=""%1"">%2</a> können Sie jederzeit einen neuen Antrag stellen.",
"You did not complete your TreviPay Credit Application. Please fill out the form in its entirety, sign and submit at the end.","Sie haben Ihren %2-Kreditantrag nicht vollständig ausgefüllt. Bitte füllen Sie das Formular vollständig aus, unterschreiben Sie es und senden Sie es am Ende ab.",
You did not complete your TreviPay Credit Application. Please visit the TreviPay section to re-apply.,"Sie haben Ihren %1-Kreditantrag nicht abgeschlossen. Bitte besuchen Sie den Abschnitt %1, um den Antrag erneut zu stellen.",
"You have been approved to make purchases on terms! <span %2>[ACTION REQUIRED]</span> Please now check your email for your activation link to complete the setup then your Trevipay credit line is ready for use. This link is valid for 7 days. If the email hasn't arrived, do check in your spam/junk mail folder.","Sie wurden für Einkäufe zu Sonderkonditionen zugelassen! <span %2>[MASSNAHME ERFORDERLICH]</span> Bitte überprüfen Sie nun Ihre E-Mails, um den Aktivierungslink zu erhalten und die Einrichtung abzuschließen. Anschließend können Sie Ihren %1-Kreditrahmen nutzen. Dieser Link ist 7 Tage lang gültig. Wenn Sie die E-Mail nicht erhalten haben, überprüfen Sie bitte Ihren Spam-/Junk-Mail-Ordner.",
Your session has expired. Please sign in again.,Ihre Sitzung ist abgelaufen. Bitte melden Sie sich erneut an.,
Your TreviPay account has been authorized and linked.,Ihr „%1“-Konto wurde autorisiert und verknüpft.,
Your TreviPay Account has been deleted. Please sign in again.,Ihr %1-Konto wurde gelöscht. Bitte melden Sie sich erneut an.,
Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase.,Ihr TreviPay-Konto wurde gesperrt. Dies ist wahrscheinlich auf überfällige Zahlungen oder eine notwendige Erhöhung des Kreditrahmens zurückzuführen.,
"Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","Ihr %3-Konto wurde gesperrt. Wahrscheinlich liegt dies an überfälligen Zahlungen oder einer erforderlichen Erhöhung des Kreditrahmens. Bitte besuchen Sie <a href=""%1"">%2</a>, um dieses Problem zu beheben.",
Your TreviPay buyer account has been suspended. Please contact your company admin to resolve this matter.,"Ihr %1-Käuferkonto wurde gesperrt. Bitte wenden Sie sich an Ihren Unternehmensadministrator, um dieses Problem zu beheben.",
"Your TreviPay Credit Application has been approved, and pending setup. <strong>[ACTION REQUIRED]</strong> Please check your email (including spam/junk) to complete the activation via the link within. You can visit the TreviPay section for further detail.","Ihr %1-Kreditantrag wurde genehmigt und muss noch eingerichtet werden. <strong>[AKTION ERFORDERLICH]</strong> Bitte prüfen Sie Ihren E-Mail-Posteingang (einschließlich Spam/Junk), um die Aktivierung über den in der E-Mail enthaltenen Link abzuschließen. Weitere Einzelheiten finden Sie im Abschnitt %1.",
Your TreviPay Credit Application has been cancelled. Please visit the TreviPay section to find more details.,"Ihr %1-Kreditantrag wurde storniert. Bitte besuchen Sie den Abschnitt %1, um weitere Einzelheiten zu erfahren.",
Your TreviPay Credit Application has been declined. Please visit the TreviPay section for further details.,"Ihr %1-Kreditantrag wurde abgelehnt. Bitte besuchen Sie den Abschnitt %1, um weitere Einzelheiten zu erfahren.",
Your TreviPay Credit Application has been withdrawn.,Ihr %1-Kreditantrag wurde zurückgezogen.,
Your TreviPay Credit Application has been withdrawn. Please visit the TreviPay section to find more details.,Ihr %1-Kreditantrag wurde zurückgezogen. Bitte besuchen Sie den Abschnitt %1 für weitere Informationen.,
Your TreviPay Credit Application is pending direct debit. Please visit the TreviPay section to find more details.,"Ihr %1-Kreditantrag ist zur Abbuchung vorgemerkt. Bitte besuchen Sie den Abschnitt %1, um weitere Informationen zu erhalten.",
Your TreviPay Credit Application is pending. Please visit the TreviPay section to find more details.,"Ihr %1-Kreditantrag ist noch in Bearbeitung. Bitte besuchen Sie den Abschnitt %1, um weitere Informationen zu erhalten.",
Zero Friction,Keine Reibung,
